sentence,word,label
Aaj mera mood nahi hai for anything,Aaj,URD
Aaj mera mood nahi hai for anything,mera,URD
Aaj mera mood nahi hai for anything,mood,ENG
Aaj mera mood nahi hai for anything,nahi,URD
Aaj mera mood nahi hai for anything,hai,URD
Aaj mera mood nahi hai for anything,for,ENG
Aaj mera mood nahi hai for anything,anything,ENG
Yaar kal presentation hai still not ready,Yaar,URD
Yaar kal presentation hai still not ready,kal,URD
Yaar kal presentation hai still not ready,presentation,ENG
Yaar kal presentation hai still not ready,hai,URD
Yaar kal presentation hai still not ready,still,ENG
Yaar kal presentation hai still not ready,not,ENG
Yaar kal presentation hai still not ready,ready,ENG
Tum online kyun nahi thay yesterday,Tum,URD
Tum online kyun nahi thay yesterday,online,ENG
Tum online kyun nahi thay yesterday,kyun,URD
Tum online kyun nahi thay yesterday,nahi,URD
Tum online kyun nahi thay yesterday,thay,URD
Tum online kyun nahi thay yesterday,yesterday,ENG
Bhai assignment submit kar di I am relieved,Bhai,URD
Bhai assignment submit kar di I am relieved,assignment,ENG
Bhai assignment submit kar di I am relieved,submit,ENG
Bhai assignment submit kar di I am relieved,kar,URD
Bhai assignment submit kar di I am relieved,di,URD
Bhai assignment submit kar di I am relieved,I,ENG
Bhai assignment submit kar di I am relieved,am,ENG
Bhai assignment submit kar di I am relieved,relieved,ENG
Kal office bohot hectic tha honestly,Kal,URD
Kal office bohot hectic tha honestly,office,ENG
Kal office bohot hectic tha honestly,bohot,URD
Kal office bohot hectic tha honestly,hectic,ENG
Kal office bohot hectic tha honestly,tha,URD
Kal office bohot hectic tha honestly,honestly,ENG
Main ghar pohanch gaya finally,Main,URD
Main ghar pohanch gaya finally,ghar,URD
Main ghar pohanch gaya finally,pohanch,URD
Main ghar pohanch gaya finally,gaya,URD
Main ghar pohanch gaya finally,finally,ENG
Aaj weather bohot nice hai,Aaj,URD
Aaj weather bohot nice hai,weather,ENG
Aaj weather bohot nice hai,bohot,URD
Aaj weather bohot nice hai,nice,ENG
Aaj weather bohot nice hai,hai,URD
Tum class miss kar gaye again,Tum,URD
Tum class miss kar gaye again,class,ENG
Tum class miss kar gaye again,miss,ENG
Tum class miss kar gaye again,kar,URD
Tum class miss kar gaye again,gaye,URD
Tum class miss kar gaye again,again,ENG
Mujhe coffee chahiye right now,Mujhe,URD
Mujhe coffee chahiye right now,coffee,ENG
Mujhe coffee chahiye right now,chahiye,URD
Mujhe coffee chahiye right now,right,ENG
Mujhe coffee chahiye right now,now,ENG
Yeh movie bohot interesting thi,Yeh,URD
Yeh movie bohot interesting thi,movie,ENG
Yeh movie bohot interesting thi,bohot,URD
Yeh movie bohot interesting thi,interesting,ENG
Yeh movie bohot interesting thi,thi,URD
Kal meeting cancel ho gayi,Kal,URD
Kal meeting cancel ho gayi,meeting,ENG
Kal meeting cancel ho gayi,cancel,ENG
Kal meeting cancel ho gayi,ho,URD
Kal meeting cancel ho gayi,gayi,URD
Main abhi busy hoon call later,Main,URD
Main abhi busy hoon call later,abhi,URD
Main abhi busy hoon call later,busy,ENG
Main abhi busy hoon call later,hoon,URD
Main abhi busy hoon call later,call,ENG
Main abhi busy hoon call later,later,ENG
Tumhara idea really amazing hai,Tumhara,URD
Tumhara idea really amazing hai,idea,ENG
Tumhara idea really amazing hai,really,ENG
Tumhara idea really amazing hai,amazing,ENG
Tumhara idea really amazing hai,hai,URD
Yaar traffic bohot terrible tha,Yaar,URD
Yaar traffic bohot terrible tha,traffic,ENG
Yaar traffic bohot terrible tha,bohot,URD
Yaar traffic bohot terrible tha,terrible,ENG
Yaar traffic bohot terrible tha,tha,URD
Lunch ke baad let's study,Lunch,ENG
Lunch ke baad let's study,ke,URD
Lunch ke baad let's study,baad,URD
Lunch ke baad let's study,let's,ENG
Lunch ke baad let's study,study,ENG
Mera phone battery low hai,Mera,URD
Mera phone battery low hai,phone,ENG
Mera phone battery low hai,battery,ENG
Mera phone battery low hai,low,ENG
Mera phone battery low hai,hai,URD
Tum seriously bohot funny ho,Tum,URD
Tum seriously bohot funny ho,seriously,ENG
Tum seriously bohot funny ho,bohot,URD
Tum seriously bohot funny ho,funny,ENG
Tum seriously bohot funny ho,ho,URD
Main project finish kar raha hoon,Main,URD
Main project finish kar raha hoon,project,ENG
Main project finish kar raha hoon,finish,ENG
Main project finish kar raha hoon,kar,URD
Main project finish kar raha hoon,raha,URD
Main project finish kar raha hoon,hoon,URD
Aaj lecture bohot informative tha,Aaj,URD
Aaj lecture bohot informative tha,lecture,ENG
Aaj lecture bohot informative tha,bohot,URD
Aaj lecture bohot informative tha,informative,ENG
Aaj lecture bohot informative tha,tha,URD
Kal shopping ka plan hai,Kal,URD
Kal shopping ka plan hai,shopping,ENG
Kal shopping ka plan hai,ka,URD
Kal shopping ka plan hai,plan,ENG
Kal shopping ka plan hai,hai,URD
Tum meri help kar sakte ho,Tum,URD
Tum meri help kar sakte ho,meri,URD
Tum meri help kar sakte ho,help,ENG
Tum meri help kar sakte ho,kar,URD
Tum meri help kar sakte ho,sakte,URD
Tum meri help kar sakte ho,ho,URD
Main exam ke liye prepared hoon,Main,URD
Main exam ke liye prepared hoon,exam,ENG
Main exam ke liye prepared hoon,ke,URD
Main exam ke liye prepared hoon,liye,URD
Main exam ke liye prepared hoon,prepared,ENG
Main exam ke liye prepared hoon,hoon,URD
Yeh task complete karna easy hai,Yeh,URD
Yeh task complete karna easy hai,task,ENG
Yeh task complete karna easy hai,complete,ENG
Yeh task complete karna easy hai,karna,URD
Yeh task complete karna easy hai,easy,ENG
Yeh task complete karna easy hai,hai,URD
Bhai game bohot addictive hai,Bhai,URD
Bhai game bohot addictive hai,game,ENG
Bhai game bohot addictive hai,bohot,URD
Bhai game bohot addictive hai,addictive,ENG
Bhai game bohot addictive hai,hai,URD
Main library ja raha hoon now,Main,URD
Main library ja raha hoon now,library,ENG
Main library ja raha hoon now,ja,URD
Main library ja raha hoon now,raha,URD
Main library ja raha hoon now,hoon,URD
Main library ja raha hoon now,now,ENG
Tumhara result finally aa gaya,Tumhara,URD
Tumhara result finally aa gaya,result,ENG
Tumhara result finally aa gaya,finally,ENG
Tumhara result finally aa gaya,aa,URD
Tumhara result finally aa gaya,gaya,URD
Ab sab kuch under control hai,Ab,URD
Ab sab kuch under control hai,sab,URD
Ab sab kuch under control hai,kuch,URD
Ab sab kuch under control hai,under,ENG
Ab sab kuch under control hai,control,ENG
Ab sab kuch under control hai,hai,URD
Main bohot excited hoon today,Main,URD
Main bohot excited hoon today,bohot,URD
Main bohot excited hoon today,excited,ENG
Main bohot excited hoon today,hoon,URD
Main bohot excited hoon today,today,ENG
Kal deadline hai don't forget,Kal,URD
Kal deadline hai don't forget,deadline,ENG
Kal deadline hai don't forget,hai,URD
Kal deadline hai don't forget,don't,ENG
Kal deadline hai don't forget,forget,ENG
Yeh idea actually bohot useful hai,Yeh,URD
Yeh idea actually bohot useful hai,idea,ENG
Yeh idea actually bohot useful hai,actually,ENG
Yeh idea actually bohot useful hai,bohot,URD
Yeh idea actually bohot useful hai,useful,ENG
Yeh idea actually bohot useful hai,hai,URD
Mujhe ye assignment complete karni hai today,Mujhe,URD
Mujhe ye assignment complete karni hai today,ye,URD
Mujhe ye assignment complete karni hai today,assignment,ENG
Mujhe ye assignment complete karni hai today,complete,ENG
Mujhe ye assignment complete karni hai today,karni,URD
Mujhe ye assignment complete karni hai today,hai,URD
Mujhe ye assignment complete karni hai today,today,ENG
Bhai laptop charge nahi ho raha,Bhai,URD
Bhai laptop charge nahi ho raha,laptop,ENG
Bhai laptop charge nahi ho raha,charge,ENG
Bhai laptop charge nahi ho raha,nahi,URD
Bhai laptop charge nahi ho raha,ho,URD
Bhai laptop charge nahi ho raha,raha,URD
Kal quiz hai be prepared,Kal,URD
Kal quiz hai be prepared,quiz,ENG
Kal quiz hai be prepared,hai,URD
Kal quiz hai be prepared,be,ENG
Kal quiz hai be prepared,prepared,ENG
Main office late pohancha because traffic,Main,URD
Main office late pohancha because traffic,office,ENG
Main office late pohancha because traffic,late,ENG
Main office late pohancha because traffic,pohancha,URD
Main office late pohancha because traffic,because,ENG
Main office late pohancha because traffic,traffic,ENG
Aaj bohot productive day tha,Aaj,URD
Aaj bohot productive day tha,bohot,URD
Aaj bohot productive day tha,productive,ENG
Aaj bohot productive day tha,day,ENG
Aaj bohot productive day tha,tha,URD
Tumhara message abhi receive hua,Tumhara,URD
Tumhara message abhi receive hua,message,ENG
Tumhara message abhi receive hua,abhi,URD
Tumhara message abhi receive hua,receive,ENG
Tumhara message abhi receive hua,hua,URD
Please mujhe update bhej dena,Please,ENG
Please mujhe update bhej dena,mujhe,URD
Please mujhe update bhej dena,update,ENG
Please mujhe update bhej dena,bhej,URD
Please mujhe update bhej dena,dena,URD
Aaj class bohot interesting thi,Aaj,URD
Aaj class bohot interesting thi,class,ENG
Aaj class bohot interesting thi,bohot,URD
Aaj class bohot interesting thi,interesting,ENG
Aaj class bohot interesting thi,thi,URD
Main market ja raha hoon later,Main,URD
Main market ja raha hoon later,market,ENG
Main market ja raha hoon later,ja,URD
Main market ja raha hoon later,raha,URD
Main market ja raha hoon later,hoon,URD
Main market ja raha hoon later,later,ENG
Tum kal free ho for lunch,Tum,URD
Tum kal free ho for lunch,kal,URD
Tum kal free ho for lunch,free,ENG
Tum kal free ho for lunch,ho,URD
Tum kal free ho for lunch,for,ENG
Tum kal free ho for lunch,lunch,ENG
Yeh project bohot challenging hai,Yeh,URD
Yeh project bohot challenging hai,project,ENG
Yeh project bohot challenging hai,bohot,URD
Yeh project bohot challenging hai,challenging,ENG
Yeh project bohot challenging hai,hai,URD
Mera internet bohot slow chal raha hai,Mera,URD
Mera internet bohot slow chal raha hai,internet,ENG
Mera internet bohot slow chal raha hai,bohot,URD
Mera internet bohot slow chal raha hai,slow,ENG
Mera internet bohot slow chal raha hai,chal,URD
Mera internet bohot slow chal raha hai,raha,URD
Mera internet bohot slow chal raha hai,hai,URD
Tumhara idea really helpful tha,Tumhara,URD
Tumhara idea really helpful tha,idea,ENG
Tumhara idea really helpful tha,really,ENG
Tumhara idea really helpful tha,helpful,ENG
Tumhara idea really helpful tha,tha,URD
Kal meeting attend karna please,Kal,URD
Kal meeting attend karna please,meeting,ENG
Kal meeting attend karna please,attend,ENG
Kal meeting attend karna please,karna,URD
Kal meeting attend karna please,please,ENG
Main bohot tired hoon today,Main,URD
Main bohot tired hoon today,bohot,URD
Main bohot tired hoon today,tired,ENG
Main bohot tired hoon today,hoon,URD
Main bohot tired hoon today,today,ENG
Yaar coffee peene chalte hain,Yaar,URD
Yaar coffee peene chalte hain,coffee,ENG
Yaar coffee peene chalte hain,peene,URD
Yaar coffee peene chalte hain,chalte,URD
Yaar coffee peene chalte hain,hain,URD
Abhi lecture start hone wala hai,Abhi,URD
Abhi lecture start hone wala hai,lecture,ENG
Abhi lecture start hone wala hai,start,ENG
Abhi lecture start hone wala hai,hone,URD
Abhi lecture start hone wala hai,wala,URD
Abhi lecture start hone wala hai,hai,URD
Main homework complete kar chuka hoon,Main,URD
Main homework complete kar chuka hoon,homework,ENG
Main homework complete kar chuka hoon,complete,ENG
Main homework complete kar chuka hoon,kar,URD
Main homework complete kar chuka hoon,chuka,URD
Main homework complete kar chuka hoon,hoon,URD
Yeh phone bohot expensive hai,Yeh,URD
Yeh phone bohot expensive hai,phone,ENG
Yeh phone bohot expensive hai,bohot,URD
Yeh phone bohot expensive hai,expensive,ENG
Yeh phone bohot expensive hai,hai,URD
Kal movie dekhne ka plan hai,Kal,URD
Kal movie dekhne ka plan hai,movie,ENG
Kal movie dekhne ka plan hai,dekhne,URD
Kal movie dekhne ka plan hai,ka,URD
Kal movie dekhne ka plan hai,plan,ENG
Kal movie dekhne ka plan hai,hai,URD
Tum assignment email kar do,Tum,URD
Tum assignment email kar do,assignment,ENG
Tum assignment email kar do,email,ENG
Tum assignment email kar do,kar,URD
Tum assignment email kar do,do,URD
Main room clean kar raha hoon,Main,URD
Main room clean kar raha hoon,room,ENG
Main room clean kar raha hoon,clean,ENG
Main room clean kar raha hoon,kar,URD
Main room clean kar raha hoon,raha,URD
Main room clean kar raha hoon,hoon,URD
Please jaldi reply karna,Please,ENG
Please jaldi reply karna,jaldi,URD
Please jaldi reply karna,reply,ENG
Please jaldi reply karna,karna,URD
Aaj lunch bohot tasty tha,Aaj,URD
Aaj lunch bohot tasty tha,lunch,ENG
Aaj lunch bohot tasty tha,bohot,URD
Aaj lunch bohot tasty tha,tasty,ENG
Aaj lunch bohot tasty tha,tha,URD
Tum online kab aoge tonight,Tum,URD
Tum online kab aoge tonight,online,ENG
Tum online kab aoge tonight,kab,URD
Tum online kab aoge tonight,aoge,URD
Tum online kab aoge tonight,tonight,ENG
Main library mein study kar raha hoon,Main,URD
Main library mein study kar raha hoon,library,ENG
Main library mein study kar raha hoon,mein,URD
Main library mein study kar raha hoon,study,ENG
Main library mein study kar raha hoon,kar,URD
Main library mein study kar raha hoon,raha,URD
Main library mein study kar raha hoon,hoon,URD
Yeh game bohot addictive nikla,Yeh,URD
Yeh game bohot addictive nikla,game,ENG
Yeh game bohot addictive nikla,bohot,URD
Yeh game bohot addictive nikla,addictive,ENG
Yeh game bohot addictive nikla,nikla,URD
Kal office work zyada tha,Kal,URD
Kal office work zyada tha,office,ENG
Kal office work zyada tha,work,ENG
Kal office work zyada tha,zyada,URD
Kal office work zyada tha,tha,URD
Main abhi dinner bana raha hoon,Main,URD
Main abhi dinner bana raha hoon,abhi,URD
Main abhi dinner bana raha hoon,dinner,ENG
Main abhi dinner bana raha hoon,bana,URD
Main abhi dinner bana raha hoon,raha,URD
Main abhi dinner bana raha hoon,hoon,URD
Tumhara presentation bohot impressive tha,Tumhara,URD
Tumhara presentation bohot impressive tha,presentation,ENG
Tumhara presentation bohot impressive tha,bohot,URD
Tumhara presentation bohot impressive tha,impressive,ENG
Tumhara presentation bohot impressive tha,tha,URD
Aaj mera internet bohot slow hai,Aaj,URD
Aaj mera internet bohot slow hai,mera,URD
Aaj mera internet bohot slow hai,internet,ENG
Aaj mera internet bohot slow hai,bohot,URD
Aaj mera internet bohot slow hai,slow,ENG
Aaj mera internet bohot slow hai,hai,URD
Kal interview hai wish me luck,Kal,URD
Kal interview hai wish me luck,interview,ENG
Kal interview hai wish me luck,hai,URD
Kal interview hai wish me luck,wish,ENG
Kal interview hai wish me luck,me,ENG
Kal interview hai wish me luck,luck,ENG
Main abhi office mein busy hoon,Main,URD
Main abhi office mein busy hoon,abhi,URD
Main abhi office mein busy hoon,office,ENG
Main abhi office mein busy hoon,mein,URD
Main abhi office mein busy hoon,busy,ENG
Main abhi office mein busy hoon,hoon,URD
Yeh idea bohot creative hai,Yeh,URD
Yeh idea bohot creative hai,idea,ENG
Yeh idea bohot creative hai,bohot,URD
Yeh idea bohot creative hai,creative,ENG
Yeh idea bohot creative hai,hai,URD
Tum assignment upload kar do,Tum,URD
Tum assignment upload kar do,assignment,ENG
Tum assignment upload kar do,upload,ENG
Tum assignment upload kar do,kar,URD
Tum assignment upload kar do,do,URD
Aaj weather perfect hai for picnic,Aaj,URD
Aaj weather perfect hai for picnic,weather,ENG
Aaj weather perfect hai for picnic,perfect,ENG
Aaj weather perfect hai for picnic,hai,URD
Aaj weather perfect hai for picnic,for,ENG
Aaj weather perfect hai for picnic,picnic,ENG
Mera phone hang ho gaya,Mera,URD
Mera phone hang ho gaya,phone,ENG
Mera phone hang ho gaya,hang,ENG
Mera phone hang ho gaya,ho,URD
Mera phone hang ho gaya,gaya,URD
Main homework complete kar raha hoon,Main,URD
Main homework complete kar raha hoon,homework,ENG
Main homework complete kar raha hoon,complete,ENG
Main homework complete kar raha hoon,kar,URD
Main homework complete kar raha hoon,raha,URD
Main homework complete kar raha hoon,hoon,URD
Kal shopping ke liye chalna,Kal,URD
Kal shopping ke liye chalna,shopping,ENG
Kal shopping ke liye chalna,ke,URD
Kal shopping ke liye chalna,liye,URD
Kal shopping ke liye chalna,chalna,URD
Tum bohot talented ho honestly,Tum,URD
Tum bohot talented ho honestly,bohot,URD
Tum bohot talented ho honestly,talented,ENG
Tum bohot talented ho honestly,ho,URD
Tum bohot talented ho honestly,honestly,ENG
Yaar project ka deadline close hai,Yaar,URD
Yaar project ka deadline close hai,project,ENG
Yaar project ka deadline close hai,ka,URD
Yaar project ka deadline close hai,deadline,ENG
